brand
"Arachitol 6L Injection"
"Avil Injection"
"Amikacin Sulphate 500mg Injection"
"AntiD 300mcg/ml Injection"
"Augmentin 1.2gm Injection"
"Adrenaline Tartrate Injection"
"Atropine Sulphate Injection"
"Aquaviron Injection 1ml"
"Actrapid HM 100IU/ml Penfill"
"Apidra 100IU Cartridge"
"Alburel 20gm Solution for Infusion"
"Aciloc Injection"
"Actrapid 100 IU/ml Flexpen"
"Antisnake Venom Injection"
"Accentrix Solution for Injection"
"Actilyse 50mg Injection"
"Alamin Injection"
"Acivir IV Injection"
"Apidra Solostar 100IU/ml Injection"
"Atarax 25mg Injection"
"Ambistryn-S 0.75gm Injection"
"Adenosine 3mg Injection"
"Aqsusten  25 Solution for Injection"
"Anawin Heavy 5mg Injection"
"Aravon Injection"
"Anaspas 25mg Injection"
"Aplevant 1.5mg Pre-filled Pen (0.5ml Each)"
"Anfoe 10000IU Injection"
"Amiject 500mg Injection"
"Amitax 500mg Injection"
"Avastin 100mg Injection"
"Aminophylline 250mg Injection"
"Alkem Piroxicam Injection"
"Azee 500 Injection"
"Azenam 1gm Injection"
"Arachitol 3L Injection"
"Apidra 100IU/ml Solution for Injection"
"Azithral 500mg Injection"
"Ampoxin 1gm Injection"
"Asklerol 3% Injection"
"ACTEMRA 400 MG INJECTION"
"Anfoe 4000IU Injection"
"Ambistryn-S 1gm Injection"
"Adriamycin 50mg Injection"
"Augplat 250mcg Injection"
"Adalipca 40mg Injection"
"Atracurium Besilate Injection"
"Accuzon 1g Injection"
"Amicin 500mg Injection"
"Accuzon Plus 1.5gm Injection"
"Alpostin 500mcg Injection"
"Anin 500mg Injection"
"Actrapid 100IU/ml Solution for Injection"
"Advent 1.2gm  Injection"
"Abhayrab-PF Vaccine"
"Adfrar Injection"
"Azunate 60mg Injection"
"Amikacin 250mg Injection"
"Amoxyclav 1000 mg/200 mg Injection"
"Anfoe 6000IU Injection"
"Amoxil 500mg Injection"
"Alkem Nandrolone 50mg Injection"
"Aplevant 0.75mg Pre-filled Pen"
"Anawin 0.5% Injection"
"Accutaz AS 1000mg/125mg Injection"
"Ambisome Injection"
"Azadine Injection"
"Acton Prolongatum 60IU Injection"
"Aquagest 25mg Injection"
"Accuzon 500 Injection"
"Amiodon 150mg Injection"
"Alburel-T Injection"
"Actorise 25 Injection"
"Anadrol 50mg Injection"
"Ampilox 500 mg/500 mg Injection"
"Alkem Ketorolac 100mg Injection"
"Augmentin 500mg/100mg Injection"
"Arixtra 2.5mg Injection"
"Acuclav IV 1.2gm Injection"
"Augmentin 250mg/50mg Injection"
"Amintoz Injection"
"Atropin Injection"
"Actamase 1000 mg/125 mg Injection"
"Aldopam 500mg Injection"
"Ampilin 500mg Injection"
"Actilyse 20mg Injection"
"Ampho B 50mg Injection"
"Assurans Injection"
"Actorise 60 Injection"
"Advent 600mg Injection"
"Advent 300mg Injection"
"Atp 0.6mg Injection"
"Adrenor 4mg Injection"
"Azom 1gm Injection"
"Amika 500mg Injection"
"Adneon 6mg Injection"
"Aquadol Spas 20mg/50mg Injection"
"Ampoxin 500mg Injection"
"Amilab 500mg Injection"
"Amphonex 50mg Injection"
"Ambilon 50mg Injection"
"Adrelin Injection"
"Acucort 100mg Injection"
"Asporelix 0.25mg Injection"
"Aeknil Injection"
"Amikamac 500mg Injection"
"ACTH INJECTION"
"Aneket 10mg Injection"
"Alburel-OS Solution For Infusion"
"Arnold 250mg Injection"
"Albudac 20% Injection"
"Advent 150mg Injection"
"Actide 0.1mg Injection"
"Actamase Forte 2000mg/250mg Powder for Injection"
"Analiv 5mg Injection"
"Aquadol 75mg Injection"
"Adlumab 40mg Injection"
"Altacef 1.5gm Injection"
"Actacrez 2.25g Injection"
"Azunate 120mg Injection"
"Agrippal S1 Injection"
"Amphotret 50mg Injection"
"Avastin 400mg Injection"
"ACTEMRA 200 MG INJECTION"
"Amiseven 7% Injection"
"Accutaz PS 250mg/31.25mg Injection"
"Aprecap 150mg Injection"
"Adacel Vaccine"
"Azenam 500mg Injection"
"Ampitrust 1.5gm Injection"
"Adenocor 6mg Injection"
"Aumento Injection"
"Azimax 500mg Injection"
"Adrim 50mg Injection"
"Amitax 100mg Injection"
"Augpen I.V. 1.2g Injection"
"ACTEMRA 80 MG INJECTION"
"Anin 250 Injection"
"Acupenem 1000mg Injection"
"Accutaz HS 500mg/62.5mg Injection"
"Avillin 25mg Injection"
"Armril Injection IP"
"Aldigesic Injection"
"AMPHOMUL 50 MG INJECTION"
"Adalirel 40mg Injection"
"Avaxim 80U Pediatric Vaccine"
"Actorise 200 Injection"
"Arsenox 10mg Injection"
"A Cef 1gm Injection"
"Anofer S 100mg Injection"
"Alfakim 500mg Injection"
"Amiva 500mg Injection"
"Abhay-TOX Vaccine"
"Azenam 2gm Injection"
"Andulfa 100mg Injection"
"Axone 1000mg Injection"
"Aculife Sterile Water for injection"
"Axokine Injection"
"Andol Injection"
"Artacil 100mg/ml Injection"
"Aztreo 1gm Injection"
"Ampilin 1gm Injection"
"Abhope 50mg Injection"
"Aneket 50mg Injection"
"Amitax 250mg Injection"
"Amikamac 100mg Injection"
"Augpen 300mg Injection"
"Azom 500mg Injection"
"Albutas 20% Injection"
"Alerta Injection"
"Aztrone 1gm Injection"
"Anset 2mg Injection"
"Artacil 50mg Injection"
"Asvs Injection"
"Actorise 100 Injection"
"Acdof 40mg Injection"
"Atacurium 50mg Injection"
"Alinfec 500mg Injection"
"Acugesic 50mg Injection"
"Adraclor Injection"
"Aminophylin Injection"
"Artisun 150mg Injection"
"And 25mg Injection"
"AVONEX 30 MCG INJECTION"
"Aurocort 40mg Injection"
"Anidulan Injection"
"Amp-Taj 1000mg Injection"
"Addtim Injection"
"Aztre 1gm Injection"
"Arasid 100mg Injection"
"Aztinam 1gm Injection"
"Aquapam Injection"
"Amtericin 50mg Injection"
"Adenoz 6mg Injection"
"Adhestop 25000IU Injection"
"Arixtra 7.5mg Injection"
"Avapar 25mg Injection"
"Ampoxin 250mg Injection"
"Anawin 0.25% Injection"
"Aristocillin 500mg Injection"
"Amica 500mg Injection"
"Abcixirel 10mg Injection"
"Axovir 500mg Injection"
"Amicin 250mg Injection"
"Axotum gm 1000mg/125mg Injection"
"Alpha Beta-Click Injection"
"Azunate AB 150mg Injection"
"Atrapure 25mg/ml Injection"
"Atro Injection"
"Amino 500 Injection"
"A Trax 250mg Injection"
"Anatensol 25mg Injection"
"Amiz 500mg Injection"
"Abraxane 100mg Injection"
"Abevmy 400mg Injection"
"Acenac 150mg Injection"
"Avpred 80mg Injection"
"Apnicaf Injection"
"Accuzon 250 Injection"
"Amiject 250mg Injection"
"A Trax 1000mg Injection"
"AbhayRIG 300IU Injection"
"Axifur 1.5gm Injection"
"Ancef 1000mg Injection"
"Actinocin 0.5mg Injection"
"Anti Snake Injection"
"Amoxil Clav Injection"
"Ambact 1.5gm Injection"
"Amphogard 50mg Injection"
"Acecort 40mg Injection"
"Amiject 100mg Injection"
"Advamab 100mg Injection"
"Alerkim Injection"
"Artezone 1000mg Injection"
"Azacytin Injection"
"AMPHOLIP 50 MG INJECTION"
"Alimta 500mg Injection"
"Avaxim 160IU Injection"
"Adalimac 40mg Injection"
"Adenoject 3mg Injection"
"Acuzone S 1000mg/500mg Injection"
"AUGEOZ 1000MG/125MG INJECTION"
"Adenoject 6mg Injection"
"Anacort 100mg Injection"
"Amikamac 250mg Injection"
"Apriset 150mg Injection"
"Angiografin 65% Injection"
"Amfocare 50mg Injection"
"Appavisc Injection"
"Alzumab 25mg Injection"
"Ampilox CV 1000 mg/200 mg Injection"
"AMPHOTIN 50 MG INJECTION"
"Aqumer 1G Injection"
"Alnacob-Plus Injection"
"Assertum 1000 mg/1000 mg Injection"
"Anofer 100mg Injection"
"Acinostop 1gm Injection"
"Ampilox C 500 mg/500 mg Injection"
"Artacil 10mg/ml Injection"
"Atrabloc Injection"
"Albuprime Injection"
"AUGTAZ 1000MG/125MG INJECTION"
"Alburen 20% Solution for Infusion"
"Aardex 4mg Injection"
"Adrena 2mg Injection"
"Aristocillin 250mg Injection"
"Anoxilin 40mg Injection"
"Alfapime TZ 1000mg/125mg Injection"
"Adfil 6mg Injection"
"Ascovit C 1500mg Injection"
"Actide 0.05mg Injection"
"Alphasan 1500 Injection"
"Amicin 100mg Injection"
"Antisnake Venom Polyvalent Injection"
"Ampilox C 250mg/250mg Injection"
"Apidra Solostar 300IU/ml Injection"
"Avcal D3 Injection"
"Atracade 25mg/ml Injection"
"Amigo 500mg Injection"
"Amijet 500mg Injection"
"Azenam 250mg Injection"
"Amika 100mg Injection"
"Adhestop 5000IU Injection"
"Altaxel 100mg Injection"
"Amicaba 125mg Injection"
"Amine 500mg Injection"
"Ampitrust Injection"
"Atronir Injection"
"Accuzon Plus 500 mg/250 mg Injection"
"Alkacel 50 Injection"
"Arsenox Injection"
"Augpen 500 mg/100 mg Injection"
"Asset 250mg Injection"
"Albicobal Plus Injection"
"Androsure 1000mg Injection"
"Atrowok 0.6mg Injection"
"Ampitum 1000 mg/500 mg Injection"
"Aprilia 40mg Injection"
"AB-Pacli 100mg Injection"
"Accuzon 2g Injection"
"Aciban 40mg Injection"
"Atacurium 25mg/ml Injection"
"Asviia Injection"
"Amicure 500mg Injection"
"Arium 25mg/ml Injection"
"Adrim 10mg Injection"
"Antixa 300mg Injection"
"And 50mg Injection"
"Artither 150mg Injection"
"Abmal 150mg Injection"
"Ampi 500mg Injection"
"Acton 60IU Injection"
"Adroglare 1mg Injection"
"Admira 40mg/0.8ml Injection"
"Ameco Plus Injection"
"Alburel 5% Solution for Infusion"
"Alkort 40mg Injection"
"AMPHOLIP 10 MG INJECTION"
"Amicor 100mg Injection"
"Anefol XT Injection"
"Acostin 1Million IU Injection"
"Azatend Injection"
"Amicip 500mg Injection"
"Abevmy 100mg Injection"
"Angionox 60mg Injection"
"Alzic 4mg Injection"
"Altacef 250 mg Injection"
"Atrapure 100mg/ml Injection"
"Arvisone 100mg Injection"
"Amitant-IV Injection"
"Adcarb 450mg Injection"
"Alrubicin 100mg Injection"
"Amikef 500mg Injection"
"Aristocillin 100mg Injection"
"Ampilox C DS 500 mg/500 mg Injection"
"Atd 40 Injection"
"Amican 500mg Injection"
"Ampilox DS 500 mg/500 mg Injection"
"Augpen 125 mg/25 mg Injection"
"Alphadex 100mcg Injection"
"Ampholyn 50mg Injection"
"Aucti 100mg Injection"
"Atropa 0.6mg Injection"
"Anfoe 2000IU Injection"
"AG Cort 40mg Injection"
"Auxifast 1000mg/500mg Injection"
"Axytee 500 Injection"
"Atobiz MC 500mcg Injection"
"Ampholip 100mg Injection"
"Amisol 500mg Injection"
"Auslog Injection"
"Anrox Injection"
"Ascovar Injection"
"Aquashot Injection"
"Alfakim 250mg Injection"
"Artinate 60mg Injection"
"Amimed 500mg Injection"
"Apricol Forte 2.5mg Injection"
"Albactam 1.5gm Injection"
"Azadual 100mg Injection"
"Aztrone 500mg Injection"
"Ampilox 250 mg/250 mg Injection"
"Accuzon Plus 250 mg/125 mg Injection"
"Aztreo 500mg Injection"
"Adpaxil 260mg/43.4ml Injection"
"Andoxy 100mg Injection"
"Acutaz 1000mg/125mg Injection"
"Adriamycin 10mg Injection"
"Alinfec 250mg Injection"
"Azitec 250mg Injection"
"Azotum 2gm Injection"
"A Cef 2gm Injection"
"Akuzid 1000 Injection"
"AB AT Injection"
"Anatensol Decanoate 25mg Injection"
"Atrapure 50mg Injection"
"Alcef 1000mg Injection"
"Acobal-OD 1500 Injection"
"Angionox 40mg Injection"
"Axone SB 1000mg/500mg Injection"
"Axotil 750 Injection"
"Amfiza 50mg Injection"
"Azocin 500mg Injection"
"Anicoba 1500mcg Injection"
"Ampilin 250mg Injection"
"Adside Injection"
"Aztrohigh 500mg Injection"
"Adcarb 150mg Injection"
"Azadine 150 Injection"
"Aziwok 500mg Injection"
"Asvs Polyvalent Injection"
"Axcob Forte Injection"
"Altacef 750mg Injection"
"Acil 500mg Injection"
"Aztrone 2gm Injection"
"Azitec 500mg Injection"
"Ascolin 500mg Injection"
"Aminophyllin 250mg Injection"
"Abhay Tag Injection"
"Ab-Taxomed Injection"
"Activa 25mg Injection"
"Amitas 500mg Injection"
"Axovir 250mg Injection"
"Arteross 60mg Injection"
"Amika M 500mg Injection"
"Acitram 100mg Injection"
"Alkem Nandrolone 25mg Injection"
"Ascolin 250mg Injection"
"Amphy  1500 Injection"
"Ancef SB 1000 mg/500 mg Injection"
"Azform 1000mg Injection"
"ANEKET 100 MG INJECTION"
"Azolin 500mg Injection"
"Adcov 50mg Injection"
"Anset R Injection"
"Azunate AB 75mg Injection"
"Adplatin 100mg Injection"
"Adiflam 50mg Injection"
"Abnerve Injection"
"Adpaxil 100mg Injection"
"Altaxel Nova 100mg Injection"
"Axon SB 1000mg/500mg Injection"
"Aprifast IV Injection"
"Artheria 75mg Injection"
"Aptum 500 mg/500 mg Injection"
"Acfast Injection"
"Ancef XP 1.125gm Injection"
"Abf Injection"
"Ancount Injection"
"Alitop-CZ 1.2gm Injection"
"Adenocor 3mg Injection"
"Ancef XP 281.25mg Injection"
"Arzerra Injection"
"Atronex 0.6mg Injection"
"Artekill 120mg Injection"
"Amfitas 50mg Injection"
"Amee 250mg Injection"
"Amgicin 1000 Injection"
"Amiron 500mg Injection"
"Alcin 500mg Injection"
"Acuclav 250mg/50mg Injection"
"Antac Injection"
"Albumaps 100mg Injection"
"Adgram 3mg Injection"
"Advamab 400 Injection"
"Amphomul 100mg Injection"
"Amox C 500mg Injection"
"Arteema 75mg Injection"
"AMI 500mg Injection"
"Addbactam 1gm Injection"
"Aldrone 50mg Injection"
"Adilan Injection"
"Almor 1gm Injection"
"Ahentaz 4.5 Injection"
"Arsikem 10mg Injection"
"Anvase 1500IU Injection"
"Axifur 750mg Injection"
"Amcort 40mg Injection"
"Adalirel 20mg Injection"
"Axicef-SB 1.5gm Injection"
"Augmed 1000 mg/200 mg Injection"
"Aztreospey 1G Injection"
"Arh Plus 60mg Injection"
"Adicobal Injection"
"Arsitri 10mg Injection"
"Alkali P Injection"
"Atrabloc 10mg Injection"
"Amcee 500mg Injection"
"Alcicort 40mg Injection"
"Albapam 3MIU Injection"
"Arocef 500mg Injection"
"Augtaz 250mg/31.25mg Injection"
"Apabol 25mg Injection"
"Afither 150mg Injection"
"Alpa Dex 4mg Injection"
"Adenoject 30mg Injection"
"Arocef 1000mg Injection"
"Ampi-S 1500mg Injection"
"Alphalan 50mg Injection"
"Asthim 50mg Injection"
"Adriamycin RTU 50mg Injection"
"Amclox 250mg/250mg Injection"
"Autic 500mg Injection"
"Amoctam G 1000mg/500mg Injection"
"Amibiotic 500mg Injection"
"Active Plus 1000mcg Injection"
"Altaxel 260mg Injection"
"Abther 150mg Injection"
"Alcort 100mg Injection"
"Amon 500mg Injection"
"Anset G 3mg Injection"
"Ampilox Paediatric  250 mg/250 mg Injection"
"Azotum 1gm Injection"
"Amtop 100mg Injection"
"Agopride 3.75mg Depot Injection"
"Amixon 500mg Injection"
"Amitral 100mg Injection"
"Amital 500mg Injection"
"Antax 1gm Injection"
"Amic 250mg Injection"
"Artinase 120mg Injection"
"Azipro 500mg Injection"
"Anxipose Injection"
"Amitax 50mg Injection"
"Amphotin Lip 50mg Injection"
"Andol 25mg Injection"
"Amadol 50mg Injection"
"Adoxi 120mg Injection Combipack"
"AE Nerve 1500mcg Injection"
"Ashmik 500mg Injection"
"Asponet 50 Injection"
"AzatiRel Injection"
"Antram Injection"
"Adrib 10mg Injection"
"Avcef TZ 1000mg/125mg Injection"
"Ampi 1000mg Injection"
"Admylin-NP Injection"
"Alfa Betalar Injection"
"Aclomax 75mg Injection"
"Acupenem 500mg Injection"
"Atover 0.6mg Injection"
"Ampilox 125 mg/125 mg Injection"
"Altaxel Nova 300mg Injection"
"Anaball 25mg Injection"
"Abiclor 20% Injection"
"Acugest 500 Injection"
"Alfamin-Plus Injection"
"Anthracin 50mg Injection"
"Ambactum 500mg/500mg Injection"
"Acticef SB 1000mg/500mg Injection"
"Acizole 40mg Injection"
"Agumerz 1000mg/200mg Injection"
"Arium 50mg Injection"
"Amipic 500mg Injection"
"Acuclav 125mg/25mg Injection"
"Arodec 25mg Injection"
"Alcef 250mg Injection"
"Anapenem 1000mg Injection"
"Alitop 80 Injection"
"Axotum 1000mg/125mg Injection"
"Anicin 500mg Injection"
"Almero 1000mg Injection"
"Accuzon 125mg Injection"
"Actodol Injection"
"Arh 150mg Injection"
"Atb 50mg Injection"
"Andomax 25mg Injection"
"Arvisone 200mg Injection"
"Alidec 100 Injection"
"Adplatin 50mg Injection"
"Amycin 50mg Injection"
"Adipam 25mg Injection"
"Alfabet Injection"
"Avzone-SB 1.5gm Injection"
"Alfacare 150mg Injection"
"A Tide 50mg Injection"
"Affytericin-B Injection"
"Amisac 250mg Injection"
"Amikas 250mg Injection"
"Acucort 250mg Injection"
"Aquazone 1000mg Injection"
"Augcef 500mg/500mg Injection"
"Amicos 250mg Injection"
"Alese 500mg Injection"
"Afzone 1000mg Injection"
"Auract 1gm Injection"
"Azzure 100mg Injection"
"Ambiocin 500mg Injection"
"Art 80mg Injection"
